epoch,step,train_loss,val_loss
0,49,0.40954792499542236,
0,99,0.3050517439842224,
0,149,0.30989712476730347,
0,199,0.23355163633823395,
0,249,0.2747668921947479,
0,299,0.16143228113651276,
0,349,0.09311550855636597,
0,399,0.1106991171836853,
0,429,,0.16512136161327362
1,449,0.10014332085847855,
1,499,0.09529285877943039,
1,549,0.14554189145565033,
1,599,0.05759451910853386,
1,649,0.090829037129879,
1,699,0.11421937495470047,
1,749,0.06817208230495453,
1,799,0.06966302543878555,
1,849,0.09767529368400574,
1,859,,0.10996663570404053
2,899,0.02261546440422535,
2,949,0.16355104744434357,
2,999,0.018234508112072945,
2,1049,0.03445081785321236,
2,1099,0.12704432010650635,
2,1149,0.09504136443138123,
2,1199,0.08754905313253403,
2,1249,0.03881450742483139,
2,1289,,0.10240928828716278
3,1299,0.059739746153354645,
3,1349,0.08026672154664993,
3,1399,0.019926700741052628,
3,1449,0.04282045736908913,
3,1499,0.07023859769105911,
3,1549,0.02767295390367508,
3,1599,0.027198970317840576,
3,1649,0.051839232444763184,
3,1699,0.050819043070077896,
3,1719,,0.08884669840335846
4,1749,0.040400005877017975,
4,1799,0.05062057450413704,
4,1849,0.006004098802804947,
4,1899,0.0958867073059082,
4,1949,0.01819934882223606,
4,1999,0.029271263629198074,
4,2049,0.021197114139795303,
4,2099,0.06387902051210403,
4,2149,0.01889885775744915,
4,2149,,0.10001134872436523
5,2199,0.02554665319621563,
5,2249,0.0178437028080225,
5,2299,0.027976956218481064,
5,2349,0.031583696603775024,
5,2399,0.024289794266223907,
5,2449,0.03303805738687515,
5,2499,0.07727697491645813,
5,2549,0.04690142720937729,
5,2579,,0.0876496285200119
6,2599,0.005933203734457493,
6,2649,0.006562649738043547,
6,2699,0.007925804704427719,
6,2749,0.07111047953367233,
6,2799,0.026659244671463966,
6,2849,0.005202897358685732,
6,2899,0.07585694640874863,
6,2949,0.014933300204575062,
6,2999,0.13301825523376465,
6,3009,,0.09457670152187347
7,3049,0.05699862912297249,
7,3099,0.004117559641599655,
7,3149,0.01074647344648838,
7,3199,0.055361051112413406,
7,3249,0.0032634749077260494,
7,3299,0.022755656391382217,
7,3349,0.027201557531952858,
7,3399,0.003405586816370487,
7,3439,,0.09398240596055984
8,3449,0.012336228974163532,
8,3499,0.0065498012118041515,
8,3549,0.055836934596300125,
8,3599,0.007038875482976437,
8,3649,0.004419008269906044,
8,3699,0.03311336413025856,
8,3749,0.04097099229693413,
8,3799,0.020476950332522392,
8,3849,0.06155586615204811,
8,3869,,0.09417254477739334
9,3899,0.0161425918340683,
9,3949,0.0009456853149458766,
9,3999,0.054128702729940414,
9,4049,0.05423274636268616,
9,4099,0.011201825924217701,
9,4149,0.014248369261622429,
9,4199,0.00267483270727098,
9,4249,0.06748563051223755,
9,4299,0.029835950583219528,
9,4299,,0.0925833210349083
10,4349,0.011178658343851566,
10,4399,0.0060086436569690704,
10,4449,0.0010998304933309555,
10,4499,0.006895353086292744,
10,4549,0.12016203254461288,
10,4599,0.008877413347363472,
10,4649,0.06694459915161133,
10,4699,0.012269416823983192,
10,4729,,0.10043660551309586
11,4749,0.0008102748543024063,
11,4799,0.01024514902383089,
11,4849,0.01493346132338047,
11,4899,0.02154342085123062,
11,4949,0.0038058983627706766,
11,4999,0.031814828515052795,
11,5049,0.0017959384713321924,
11,5099,0.0013501787325367332,
11,5149,0.015492892824113369,
11,5159,,0.10367079079151154
12,5199,0.11421819031238556,
12,5249,0.032472290098667145,
12,5299,0.0011610521469265223,
12,5349,0.0017840765649452806,
12,5399,0.0021552294492721558,
12,5449,0.039930619299411774,
12,5499,0.0006986398948356509,
12,5549,0.010333088226616383,
12,5589,,0.11503474414348602
13,5599,0.003291883273050189,
13,5649,0.009534447453916073,
13,5699,0.01397839467972517,
13,5749,0.0006639224011451006,
13,5799,0.0048018028028309345,
13,5849,0.002263482892885804,
13,5899,0.0018172514392063022,
13,5949,0.0019121125806123018,
13,5999,0.002127289306372404,
13,6019,,0.12552586197853088
14,6049,0.0015320467064157128,
14,6099,0.0010325309121981263,
14,6149,0.00026071639149449766,
14,6199,0.0031081591732800007,
14,6249,0.002715830225497484,
14,6299,0.004068486392498016,
14,6349,0.033255014568567276,
14,6399,0.0006190736894495785,
14,6449,0.00030472190701402724,
14,6449,,0.11073892563581467
15,6499,0.0015637328615412116,
15,6549,0.0046693431213498116,
15,6599,0.0081131961196661,
15,6649,0.0003203731030225754,
15,6699,0.0002710848639253527,
15,6749,0.08883871138095856,
15,6799,0.0061582960188388824,
15,6849,0.001484361826442182,
15,6879,,0.12873384356498718
16,6899,0.00404315022751689,
16,6949,0.00525090703740716,
16,6999,0.0423051118850708,
16,7049,0.015481761656701565,
16,7099,0.0002441472897771746,
16,7149,0.0022734911181032658,
16,7199,0.0015632041031494737,
16,7249,0.0023195170797407627,
16,7299,0.0015823077410459518,
16,7309,,0.12310232222080231
17,7349,0.00029265257762745023,
17,7399,0.0019492409192025661,
17,7449,0.005291508976370096,
17,7499,0.05040472000837326,
17,7549,0.0013306733453646302,
17,7599,0.0057093556970357895,
17,7649,0.004973696079105139,
17,7699,0.004137593321502209,
17,7739,,0.15212859213352203
18,7749,0.00041731263627298176,
18,7799,0.00024621046031825244,
18,7849,0.02863340824842453,
18,7899,0.004858586471527815,
18,7949,0.0016821774188429117,
18,7999,0.0010045475792139769,
18,8049,0.00018434091180097312,
18,8099,0.0014962005661800504,
18,8149,0.0056223683059215546,
18,8169,,0.15475229918956757
19,8199,0.0001106950658140704,
19,8249,0.01794569566845894,
19,8299,0.17181725800037384,
19,8349,0.0002579647407401353,
19,8399,0.000526447081938386,
19,8449,0.007364319637417793,
19,8499,0.02443597838282585,
19,8549,0.024629315361380577,
19,8599,0.0006583624053746462,
19,8599,,0.1366778016090393
20,8649,0.0006763835554011166,
20,8699,0.0006172831635922194,
20,8749,0.02652008831501007,
20,8799,0.009536771103739738,
20,8849,0.0033536655828356743,
20,8899,0.0003693375620059669,
20,8949,0.0007296043331734836,
20,8999,0.018844161182641983,
20,9029,,0.1754591166973114
21,9049,0.10056746751070023,
21,9099,0.0005262363119982183,
21,9149,0.0005056000663898885,
21,9199,0.000556552316993475,
21,9249,0.004345509689301252,
21,9299,0.001027319231070578,
21,9349,0.0001898134796647355,
21,9399,0.0002915009972639382,
21,9449,0.0031242959666997194,
21,9459,,0.10221131891012192
22,9499,0.0012134895659983158,
22,9549,0.002758009359240532,
22,9599,0.000516774773132056,
22,9649,8.946361049311236e-05,
22,9699,0.003261841833591461,
22,9749,0.0006123262573964894,
22,9799,0.03201761841773987,
22,9849,0.006155574694275856,
22,9889,,0.12135380506515503
23,9899,0.0018498202553018928,
23,9949,0.000322663807310164,
23,9999,0.08324748277664185,
23,10049,0.008311152458190918,
23,10099,0.008336982689797878,
23,10149,0.0007848050445318222,
23,10199,2.3306847651838325e-05,
23,10249,3.116839798167348e-05,
23,10299,0.01181425154209137,
23,10319,,0.11899621784687042
24,10349,0.0006206044927239418,
24,10399,0.06406521797180176,
24,10449,0.00461930688470602,
24,10499,0.00048798159696161747,
24,10549,0.12180139124393463,
24,10599,0.0014051645994186401,
24,10649,0.004570343531668186,
24,10699,0.0005671285325661302,
24,10749,0.00010075166210299358,
24,10749,,0.1489378809928894
25,10799,0.06783943623304367,
25,10849,0.00030243839137256145,
25,10899,0.0005841870442964137,
25,10949,4.636291487258859e-05,
25,10999,0.00018296527559868991,
25,11049,0.0015892653027549386,
25,11099,8.117932338791434e-06,
25,11149,4.8445908760186285e-06,
25,11179,,0.17227937281131744
26,11199,0.001556559931486845,
26,11249,0.0017149480991065502,
26,11299,0.001166424946859479,
26,11349,0.022899018600583076,
26,11399,9.82682904577814e-05,
26,11449,4.5095006498740986e-05,
26,11499,5.147287083673291e-05,
26,11549,8.334746235050261e-05,
26,11599,0.00033154728589579463,
26,11609,,0.12225097417831421
27,11649,0.006574783939868212,
27,11699,0.015164053998887539,
27,11749,9.914000656863209e-06,
27,11799,0.00015258158964570612,
27,11849,0.0011233630357310176,
27,11899,0.00010676496458472684,
27,11949,9.462891466682777e-05,
27,11999,9.657183545641601e-05,
27,12039,,0.12677878141403198
28,12049,0.007383471820503473,
28,12099,0.0028999040368944407,
28,12149,1.0024255971075036e-05,
28,12199,0.0012068427167832851,
28,12249,0.0013110663276165724,
28,12299,2.4673816369613633e-05,
28,12349,0.0007530890870839357,
28,12399,0.04600707069039345,
28,12449,0.00021141351317055523,
28,12469,,0.1421010047197342
29,12499,0.0750340074300766,
29,12549,0.00010425522486912087,
29,12599,0.01658662222325802,
29,12649,0.004541122820228338,
29,12699,0.006282093469053507,
29,12749,0.0011678651208058,
29,12799,0.0001782677718438208,
29,12849,2.5033202746271854e-06,
29,12899,0.0013601663522422314,
29,12899,,0.15099269151687622
30,12949,0.0005726161180064082,
30,12999,2.003394729399588e-05,
30,13049,0.005787822417914867,
30,13099,8.334100857609883e-05,
30,13149,0.00019928894471377134,
30,13199,0.0007922930526547134,
30,13249,0.008110903203487396,
30,13299,0.004829824436455965,
30,13329,,0.16377343237400055
31,13349,0.0009068830986507237,
31,13399,0.0002946846652776003,
31,13449,4.014185105916113e-05,
31,13499,2.02482842723839e-05,
31,13549,5.808694550069049e-05,
31,13599,0.012926734983921051,
31,13649,8.395005716010928e-05,
31,13699,8.905828508432023e-06,
31,13749,2.634950214996934e-05,
31,13759,,0.16525882482528687
32,13799,0.003938663750886917,
32,13849,0.0017046758439391851,
32,13899,0.00027258112095296383,
32,13949,0.0007690826314501464,
32,13999,0.00032052217284217477,
32,14049,0.001095087151043117,
32,14099,0.00015612857532687485,
32,14149,0.014041691087186337,
32,14189,,0.1507110297679901
33,14199,0.06836370378732681,
33,14249,2.2724240977822774e-07,
33,14299,0.0009899785509333014,
33,14349,0.030134985223412514,
33,14399,2.782481533358805e-05,
33,14449,0.0001134513076976873,
33,14499,8.5480569396168e-05,
33,14549,9.308518201578408e-05,
33,14599,3.7705522117903456e-05,
33,14619,,0.16508440673351288
34,14649,6.412764378183056e-06,
34,14699,0.024085447192192078,
34,14749,5.394893742050044e-05,
34,14799,8.399596117669716e-05,
34,14849,9.153074643108994e-06,
34,14899,2.757439506240189e-05,
34,14949,0.019153336063027382,
34,14999,0.0022356449626386166,
34,15049,4.432320565683767e-06,
34,15049,,0.14536985754966736
35,15099,3.059989103348926e-05,
35,15149,1.2972392141819e-05,
35,15199,0.0334554947912693,
35,15249,0.0048058005049824715,
35,15299,1.3165510608814657e-05,
35,15349,0.0002274360740557313,
35,15399,0.00032540870597586036,
35,15449,0.0017276128055527806,
35,15479,,0.16604259610176086
36,15499,2.622518877615221e-06,
36,15549,0.000642462691757828,
36,15599,0.0001501930528320372,
36,15649,1.2640576642297674e-05,
36,15699,9.85784427030012e-05,
36,15749,0.00039800599915906787,
36,15799,7.671375897189137e-06,
36,15849,3.201760137017118e-06,
36,15899,0.0004744520992971957,
36,15909,,0.14494165778160095
37,15949,0.000279809144558385,
37,15999,0.002609244780614972,
37,16049,0.010935692116618156,
37,16099,0.00042505853343755007,
37,16149,0.0010474846931174397,
37,16199,1.0192737136094365e-05,
37,16249,0.0016118483617901802,
37,16299,3.7679471915907925e-06,
37,16339,,0.14776675403118134
38,16349,5.8993016864405945e-05,
38,16399,3.1625891097064596e-06,
38,16449,3.6729143175762147e-06,
38,16499,8.530857940058922e-07,
38,16549,4.7537978389300406e-05,
38,16599,0.00047955987975001335,
38,16649,0.033526550978422165,
38,16699,0.06222071126103401,
38,16749,0.020769966766238213,
38,16769,,0.18907995522022247
39,16799,0.03033134900033474,
39,16849,2.3430638975696638e-05,
39,16899,0.0026371784042567015,
39,16949,0.001547973952256143,
39,16999,0.0010447667445987463,
39,17049,0.008575158193707466,
39,17099,0.008348244242370129,
39,17149,0.02596302516758442,
39,17199,0.011723417788743973,
39,17199,,0.161679208278656
40,17249,0.00023946250439621508,
40,17299,2.2870159227750264e-05,
40,17349,0.0025051231496036053,
40,17399,0.00010102891246788204,
40,17449,0.00016205356223508716,
40,17499,0.0017822834197431803,
40,17549,2.6488311050343327e-05,
40,17599,1.547999636386521e-05,
40,17629,,0.15400569140911102
41,17649,0.0008120937272906303,
41,17699,0.00022601573436986655,
41,17749,1.3019439393247012e-06,
41,17799,0.0010564277181401849,
41,17849,0.0013951777946203947,
41,17899,1.1841971172543708e-05,
41,17949,0.0005252646515145898,
41,17999,0.00023116027296055108,
41,18049,4.911920041195117e-05,
41,18059,,0.15516546368598938
42,18099,0.00010025395022239536,
42,18149,0.004279206972569227,
42,18199,0.0007385742501355708,
42,18249,3.8144780774018727e-06,
42,18299,0.000607455032877624,
42,18349,0.000867343507707119,
42,18399,1.4479050150839612e-05,
42,18449,0.0003465530462563038,
42,18489,,0.15977151691913605
43,18499,0.00017015803314279765,
43,18549,9.881417645374313e-05,
43,18599,8.755747330724262e-06,
43,18649,0.00017362998914904892,
43,18699,1.6908961697481573e-05,
43,18749,2.019025487243198e-06,
43,18799,6.7761073296424e-05,
43,18849,2.631343886605464e-05,
43,18899,0.029948392882943153,
43,18919,,0.16450385749340057
44,18949,4.6297500375658274e-05,
44,18999,7.238607213366777e-05,
44,19049,0.0006426490726880729,
44,19099,9.252350719179958e-05,
44,19149,0.0028886301442980766,
44,19199,1.1589128007472027e-05,
44,19249,0.1569886952638626,
44,19299,0.0002189222286688164,
44,19349,7.722830196144059e-05,
